Change Physical Footprint: Designator=*1 Old Footprint=XBEE-MODULE New Footprint=XBEE-MODULE
Change Physical Footprint: Designator=*2 Old Footprint=Switch_5.08 New Footprint=Switch_5.08
Change Physical Footprint: Designator=*3 Old Footprint=POWER_SOCKET New Footprint=POWER_SOCKET
Change Physical Footprint: Designator=*4 Old Footprint=POWER_SOCKET New Footprint=POWER_SOCKET
Change Physical Footprint: Designator=*5 Old Footprint=POWER_SOCKET New Footprint=POWER_SOCKET
Change Physical Footprint: Designator=*6 Old Footprint=POWER_SOCKET New Footprint=POWER_SOCKET
Change Physical Footprint: Designator=*7 Old Footprint=POWER_SOCKET New Footprint=POWER_SOCKET
Change Physical Footprint: Designator=C1 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C2 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C3 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C4 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C5 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C6 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C7 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C8 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C9 Old Footprint=CAP0805-NP New Footprint=CAP0805-NP
Change Physical Footprint: Designator=C10 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C11 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C12 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C13 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C14 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C15 Old Footprint=PANASONIC_C New Footprint=PANASONIC_C
Change Physical Footprint: Designator=C16 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C17 Old Footprint=PANASONIC_E New Footprint=PANASONIC_E
Change Physical Footprint: Designator=C18 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C19 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C20 Old Footprint=PANASONIC_C New Footprint=PANASONIC_C
Change Physical Footprint: Designator=C21 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C22 Old Footprint=PANASONIC_E New Footprint=PANASONIC_E
Change Physical Footprint: Designator=C23 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=C24 Old Footprint=0603-CAP New Footprint=0603-CAP
Change Physical Footprint: Designator=D1 Old Footprint=SMB New Footprint=SMB
Change Physical Footprint: Designator=D2 Old Footprint=0603-SMD-LED New Footprint=0603-SMD-LED
Change Physical Footprint: Designator=D3 Old Footprint=0603-SMD-LED New Footprint=0603-SMD-LED
